market_id,slug,question,answer1,answer2,resolved_outcome,winner_token,source
537883,will-the-ecb-announce-a-50-bps-decrease-at-the-june-meeting,Will the ECB announce a 50+ bps decrease at the June meeting?,Yes,No,No,,https://polymarket.com/event/ecb-interest-rates-june-2025/will-the-ecb-announce-a-50-bps-decrease-at-the-june-meeting
253254,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?,Yes,No,Yes,,https://polymarket.com/event/bitcoin-etf-approved-by-jan-15/bitcoin-etf-approved-by-jan-15
505412,will-florida-state-win-the-2025-college-football-playoff,Will Florida State win the 2025 College Football Playoff?,Yes,No,No,,https://polymarket.com/event/college-football-champion-2025/will-nc-state-win-the-2025-college-football-playoff
253727,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,Kamala Harris wins the popular vote?,Yes,No,No,,https://polymarket.com/market/will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election
253591,will-donald-trump-win-the-2024-us-presidential-election,Will Donald Trump win the 2024 US Presidential Election?,Yes,No,Yes,,https://polymarket.com/market/will-donald-trump-win-the-2024-us-presidential-election
514215,bitcoin-above-98000-on-december-6,"Bitcoin above $98,000 on December 6?",Yes,No,Yes,,https://polymarket.com/event/bitcoin-above-98000-on-december-6
503328,will-the-commanders-win-super-bowl-2025,Will the Commanders win Super Bowl 2025?,Yes,No,No,,https://polymarket.com/event/superbowl-champion-2025/will-the-commanders-win-super-bowl-2025
553058,will-elio-opening-weekend-box-office-be-between-23-26m,"Will ""Elio"" Opening Weekend Box Office be between $23-26m?",Yes,No,No,,https://polymarket.com/event/elio-opening-weekend-box-office
253641,will-any-other-democratic-politician-win-the-2024-us-presidential-election,Will any other Democratic Politician win the 2024 US Presidential Election?,Yes,No,No,,https://polymarket.com/market/will-any-other-democratic-politician-win-the-2024-us-presidential-election
524871,nhl-cal-car-2025-03-02,Flames vs. Hurricanes,Flames,Hurricanes,Hurricanes,,https://polymarket.com/event/nhl-cal-car-2025-03-02
572450,will-elon-tweet-360374-times-august-1august-8,Will Elon tweet 360–374 times August 1–August 8?,Yes,No,Yes,,https://polymarket.com/event/elon-musk-of-tweets-august-1-8-higher-brackets/will-elon-tweet-405419-times-august-1august-8
556443,bitcoin-up-or-down-july-1-1pm-et,"Bitcoin Up or Down - July 1, 1PM ET",Up,Down,Up,,https://polymarket.com/event/bitcoin-up-or-down-july-1-1pm-et
514713,will-tari-eason-win-2024-25-nba-6th-man-of-the-year,Will Tari Eason win 2024-25 NBA 6th Man of the Year?,Yes,No,No,,https://polymarket.com/event/nba-6th-man-of-the-year
520411,nba-phx-por-2025-02-01,Suns vs. Trail Blazers,Suns,Trail Blazers,Trail Blazers,,https://www.espn.com/nba/game/_/gameId/401705260/suns-trail-blazers
511971,will-the-match-between-celtic-and-rb-leipzig-end-in-a-draw,Will the match between Celtic and RB Leipzig end in a draw?,Yes,No,No,,https://polymarket.com/event/ucl-celtic-vs-rb-leipzig
507284,will-ac-milan-win-the-uefa-champions-league,Will AC Milan win the UEFA Champions League?,Yes,No,No,,https://polymarket.com/event/champions-league-winner-2025
517012,will-wicked-for-good-be-the-top-grossing-movie-of-2025,Will Wicked: For Good be the top grossing movie of 2025?,Yes,No,No,,https://polymarket.com/event/highest-grossing-movie-in-2025/will-wicked-for-good-be-the-top-grossing-movie-of-2025
531244,will-the-highest-temperature-in-nyc-be-66f-or-higher-on-march-28,Will the highest temperature in NYC be 66°F or higher on March 28?,Yes,No,No,,https://polymarket.com/event/highest-temperature-in-nyc-on-march-28
569985,bitcoin-up-or-down-august-1-11pm-et,"Bitcoin Up or Down - August 1, 11PM ET",Up,Down,Up,,https://polymarket.com/event/bitcoin-up-or-down-august-1-11pm-et/bitcoin-up-or-down-august-1-11pm-et
526472,cbb-ccar-usm-2025-03-04,Coastal Carolina vs. Southern Mississippi,Coastal Carolina,Southern Mississippi,Southern Mississippi,,https://www.espn.com/mens-college-basketball/game/_/gameId/401744207/coastal-car-southern-miss
507311,will-shakhtar-donetsk-win-the-uefa-champions-league,Will Shakhtar Donetsk win the UEFA Champions League?,Yes,No,No,,https://polymarket.com/event/champions-league-winner-2025
253686,2024-presidential-election-democrats-win-by-65-104,2024 presidential election: Democrats win by 65-104,Yes,No,No,,https://polymarket.com/event/electoral-college-margin-of-victory-in-the-2024-presidential-election/2024-presidential-election-democrats-win-by-0-4
541780,will-novak-djokovic-win-wimbledon-2025,Will Novak Djokovic win Wimbledon 2025?,Yes,No,,,
566170,will-club-brugge-win-the-202526-champions-league,Will Club Brugge win the 2025–26 Champions League?,Yes,No,,,
507297,will-dinamo-zagreb-win-the-uefa-champions-league,Will Dinamo Zagreb win the UEFA Champions League?,Yes,No,,,
553188,bitcoin-up-or-down-june-19-2am-et,"Bitcoin Up or Down - June 19, 2AM ET",Up,Down,,,
511755,will-someone-else-be-inaugurated,Will someone else be inaugurated?,Yes,No,,,
527173,will-the-price-of-bitcoin-be-less-than-83000-on-mar-14,Will the price of Bitcoin be less than $83000 on Mar 14?,Yes,No,,,
521571,will-austria-win-eurovision-2025,Will Austria win Eurovision 2025?,Yes,No,,,
514351,will-trump-tweet-11-14-times-nov-29-dec-6,Will trump tweet 11-14 times Nov 29-Dec 6?,Yes,No,,,
503515,will-virginia-be-the-tipping-point-state,Will Virginia be the tipping point state?,Yes,No,,,
597874,bitcoin-up-or-down-september-17-5pm-et,"Bitcoin Up or Down - September 17, 5PM ET",Up,Down,,,
530438,will-carlos-sainz-win-the-2025-japanese-grand-prix,Will Carlos Sainz win the 2025 Japanese Grand Prix?,Yes,No,,,
620505,mlb-det-sea-2025-10-04,Tigers vs. Mariners,Tigers,Mariners,,,
507891,will-the-portland-trail-blazers-win-the-2025-nba-finals,Will the Portland Trail Blazers win the 2025 NBA Finals?,Yes,No,,,
587607,us-open-jannik-sinner-vs-felix-auger-aliassime-2025-09-05,US Open: Jannik Sinner vs Felix Auger Aliassime,Sinner,Aliassime,,,
505179,monkeypox-lab-leak-confirmed-by-us-in-2024,Monkeypox lab leak confirmed by US in 2024?,Yes,No,,,
537714,nba-min-lal-2025-04-22,Timberwolves vs. Lakers,Twolves,Lakers,,,
553878,will-the-chicago-bulls-win-the-2026-nba-finals,Will the Chicago Bulls win the 2026 NBA Finals?,Yes,No,,,
562104,boxing-usyk-vs-dubois-2,Boxing: Usyk vs Dubois 2,Usyk,Dubois,,,
542558,will-lee-jae-myung-win-50-55-of-the-vote-in-the-south-korea-election,Will Lee Jae-myung win 50-55% of the vote in the South Korea election?,Yes,No,,,
503311,will-the-colts-win-super-bowl-2025,Will the Colts win Super Bowl 2025?,Yes,No,,,
561977,will-glenn-youngkin-win-the-2028-republican-presidential-nomination,Will Glenn Youngkin win the 2028 Republican presidential nomination?,Yes,No,,,
576765,will-the-price-of-ethereum-be-between-4600-and-4700-on-august-22,Will the price of Ethereum be between $4600 and $4700 on August 22?,Yes,No,,,
525366,will-fernando-alonso-be-the-2025-drivers-champion,Will Fernando Alonso be the 2025 Drivers Champion?,Yes,No,,,
585083,bitcoin-up-or-down-september-3-10pm-et,"Bitcoin Up or Down - September 3, 10PM ET",Up,Down,,,
506738,ipswich-town-wins-the-premier-league,Ipswich Town wins the Premier League?,Yes,No,,,
556166,will-europe-win-the-2025-ryder-cup,Will Europe win the 2025 Ryder Cup?,Yes,No,,,
506742,nottingham-forest-wins-the-premier-league,Nottingham Forest wins the Premier League?,Yes,No,,,
511645,will-elon-tweet-425-449-times-november-1-8,Will Elon tweet 425-449 times November 1-8?,Yes,No,,,
511857,will-the-republican-candidate-win-iowa-by-3pt0-4pt0,Will the Republican candidate win Iowa by 3.0-4.0%? ,Yes,No,,,
534193,will-oh-se-hoon-be-elected-the-next-president-of-south-korea,Will Oh Se-hoon be elected the next president of South Korea?,Yes,No,,,
508835,will-trump-win-florida-by-8-points,Will Trump win Florida by 8+ points?,Yes,No,,,
574626,mlb-hou-nyy-2025-08-10,Astros vs. Yankees,Astros,Yankees,,,
548374,bitcoin-up-or-down-on-june-2,Bitcoin Up or Down on June 2?,Up,Down,,,
509916,will-inter-milan-win-the-serie-a,Will Inter Milan win the Serie A?,Yes,No,,,
525841,will-the-highest-temperature-in-london-be-between-47-48f-on-march-2,Will the highest temperature in London be between 47-48°F on March 2?,Yes,No,,,
521396,nba-uta-phx-2025-02-07,Jazz vs. Suns,Jazz,Suns,,,
508212,will-trump-say-trans-during-his-wisconsin-speech,"Will Trump say ""trans"" during his Wisconsin speech?",Yes,No,,,
509428,will-nikola-jokic-lead-the-nba-in-rebounds, Will Nikola Jokic lead the NBA in Rebounds?,Yes,No,,,
521147,bitcoin-above-105000-on-february-7,"Bitcoin above $105,000 on February 7?",Yes,No,,,
254006,will-a-nuclear-weapon-detonate-in-2024,Will a nuclear weapon detonate in 2024?,Yes,No,,,
507268,will-manchester-city-win-the-uefa-champions-league,Will Manchester City win the UEFA Champions League?,Yes,No,,,
507314,will-sporting-cp-win-the-uefa-champions-league,Will Sporting CP win the UEFA Champions League?,Yes,No,,,
521586,will-israel-win-eurovision-2025,Will Israel win Eurovision 2025?,Yes,No,,,
503013,will-biden-complete-his-term-as-president,Will Biden finish his term?,Yes,No,,,
559689,will-beto-orourke-win-the-2028-democratic-presidential-nomination,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,Yes,No,,,
505425,will-kansas-state-win-the-2025-college-football-playoff,Will Kansas State win the 2025 College Football Playoff?,Yes,No,,,
516707,circle-ipo-in-2025,Circle IPO in 2025?,Yes,No,,,
514290,nba-hou-sac-2024-12-03,Rockets vs. Kings,Rockets,Kings,,,
519635,aliskerov-vs-muniz,Aliskerov vs. Muniz,Aliskerov,Muniz,,,
507395,will-real-madrid-win-la-liga,Will Real Madrid win La Liga?,Yes,No,,,
